"","vote_2019","gender","edu","age","province","dummy_vote"
"49","Liberal Party","Male","Graduated college","60 plus","BC",1
"50","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"51","Liberal Party","Female","Graduated high school","60 plus","ON",1
"52","Conservative Party","Female","Didn't graduate college","45 to 59","NL",0
"53","Liberal Party","Male","Graduated college","45 to 59","ON",1
"54","Liberal Party","Female","Graduated college","60 plus","QC",1
"55","Liberal Party","Male","Graduated college","60 plus","ON",1
"56","Liberal Party","Female","Graduated college","30 to 44","NS",1
"57","Liberal Party","Male","Graduated college","60 plus","QC",1
"58","Conservative Party","Male","Graduated college","30 to 44","BC",0
"59","Liberal Party","Female","Graduated high school","18 to 29","ON",1
"60","Conservative Party","Female","Didn't graduate college","45 to 59","AB",0
"61","Conservative Party","Male","Didn't graduate college","60 plus","NL",0
"62","Liberal Party","Female","Graduated college","45 to 59","ON",1
"63","Conservative Party","Male","Didn't graduate college","60 plus","AB",0
"64","Liberal Party","Male","Didn't graduate college","60 plus","ON",1
"65","Conservative Party","Male","Didn't graduate college","60 plus","SK",0
"66","Liberal Party","Female","Graduated high school","60 plus","QC",1
"67","Liberal Party","Male","Didn't graduate college","45 to 59","ON",1
"68","Liberal Party","Female","Graduated college","60 plus","QC",1
"69","Liberal Party","Male","Graduated college","60 plus","ON",1
"70","Liberal Party","Male","Graduated college","18 to 29","BC",1
"71","Liberal Party","Female","Graduated college","30 to 44","BC",1
"72","Conservative Party","Male","Graduated high school","60 plus","QC",0
"73","Liberal Party","Female","Graduated college","60 plus","ON",1
"74","Liberal Party","Female","Graduated college","60 plus","ON",1
"75","Conservative Party","Female","Graduated high school","60 plus","ON",0
"76","Conservative Party","Female","Graduated high school","60 plus","BC",0
"77","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"78","Liberal Party","Female","Graduated college","60 plus","ON",1
"79","Conservative Party","Female","Didn't graduate college","30 to 44","BC",0
"80","Conservative Party","Male","Graduated college","60 plus","ON",0
"81","Liberal Party","Male","Didn't graduate college","60 plus","NB",1
"82","Liberal Party","Male","Graduated college","60 plus","ON",1
"83","Liberal Party","Male","Graduated college","30 to 44","QC",1
"84","Conservative Party","Female","Graduated college","45 to 59","ON",0
"85","Conservative Party","Female","Graduated high school","30 to 44","QC",0
"86","Liberal Party","Male","Didn't graduate college","60 plus","ON",1
"87","Liberal Party","Female","Graduated college","30 to 44","ON",1
"88","Conservative Party","Male","Didn't graduate college","45 to 59","BC",0
"89","Liberal Party","Female","Graduated college","30 to 44","QC",1
"90","Liberal Party","Female","Graduated college","18 to 29","QC",1
"91","Liberal Party","Male","Graduated high school","45 to 59","QC",1
"92","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"93","Conservative Party","Female","Graduated college","45 to 59","QC",0
"94","Conservative Party","Male","Didn't graduate college","45 to 59","SK",0
"95","Liberal Party","Female","Didn't graduate college","45 to 59","SK",1
"96","Liberal Party","Female","Graduated college","18 to 29","ON",1
"97","Conservative Party","Male","Didn't graduate college","45 to 59","ON",0
"98","Conservative Party","Male","Didn't graduate college","60 plus","NB",0
"99","Conservative Party","Female","Graduated college","60 plus","NL",0
"100","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"101","Conservative Party","Female","Graduated college","30 to 44","ON",0
"102","Conservative Party","Male","Didn't graduate college","45 to 59","ON",0
"103","Conservative Party","Female","Graduated college","60 plus","BC",0
"104","Conservative Party","Female","Didn't graduate college","60 plus","AB",0
"105","Conservative Party","Female","Graduated college","30 to 44","BC",0
"106","Conservative Party","Female","Graduated college","30 to 44","ON",0
"107","Conservative Party","Female","Didn't graduate college","30 to 44","NB",0
"108","Liberal Party","Male","Graduated college","30 to 44","AB",1
"109","Liberal Party","Male","Graduated high school","60 plus","ON",1
"110","Conservative Party","Female","Didn't graduate college","45 to 59","BC",0
"111","Liberal Party","Male","Graduated college","60 plus","ON",1
"112","Conservative Party","Female","Graduated college","30 to 44","QC",0
"113","Liberal Party","Female","Graduated college","30 to 44","ON",1
"114","Conservative Party","Male","Graduated college","45 to 59","SK",0
"115","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"116","Liberal Party","Female","Graduated college","18 to 29","BC",1
"117","Conservative Party","Female","Graduated college","45 to 59","BC",0
"118","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"119","Conservative Party","Male","Graduated college","45 to 59","ON",0
"120","Conservative Party","Female","Graduated high school","60 plus","QC",0
"121","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"122","Conservative Party","Female","Graduated high school","60 plus","QC",0
"123","Liberal Party","Male","Graduated college","30 to 44","QC",1
"124","Conservative Party","Male","Graduated high school","45 to 59","QC",0
"125","Conservative Party","Female","Didn't graduate college","18 to 29","ON",0
"126","Conservative Party","Female","Didn't graduate college","60 plus","ON",0
"127","Conservative Party","Female","Graduated high school","60 plus","QC",0
"128","Liberal Party","Female","Graduated college","18 to 29","ON",1
"129","Liberal Party","Female","Graduated college","30 to 44","ON",1
"130","Conservative Party","Male","Graduated high school","60 plus","QC",0
"131","Conservative Party","Male","Graduated college","30 to 44","AB",0
"132","Conservative Party","Male","Didn't graduate college","18 to 29","QC",0
"133","Conservative Party","Female","Didn't graduate college","45 to 59","MB",0
"134","Liberal Party","Female","Didn't graduate college","18 to 29","QC",1
"135","Liberal Party","Female","Didn't graduate college","45 to 59","NS",1
"136","Liberal Party","Male","Graduated college","30 to 44","QC",1
"137","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"138","Conservative Party","Female","Graduated college","30 to 44","ON",0
"139","Liberal Party","Female","Didn't graduate college","30 to 44","QC",1
"140","Conservative Party","Male","Didn't graduate high school","45 to 59","SK",0
"141","Liberal Party","Female","Didn't graduate college","30 to 44","QC",1
"142","Liberal Party","Female","Graduated college","30 to 44","ON",1
"143","Conservative Party","Female","Graduated college","45 to 59","ON",0
"144","Liberal Party","Male","Didn't graduate college","45 to 59","AB",1
"145","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"146","Liberal Party","Male","Graduated college","30 to 44","BC",1
"147","Conservative Party","Male","Graduated college","30 to 44","BC",0
"148","Conservative Party","Male","Didn't graduate college","45 to 59","AB",0
"149","Liberal Party","Male","Graduated college","60 plus","QC",1
"150","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"151","Liberal Party","Male","Graduated college","18 to 29","ON",1
"152","Liberal Party","Female","Graduated college","18 to 29","SK",1
"153","Liberal Party","Female","Graduated college","45 to 59","BC",1
"154","Conservative Party","Male","Graduated college","60 plus","AB",0
"155","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"156","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"157","Liberal Party","Male","Graduated college","45 to 59","BC",1
"158","Liberal Party","Female","Didn't graduate college","60 plus","QC",1
"159","Conservative Party","Male","Graduated college","60 plus","ON",0
"160","Liberal Party","Male","Graduated high school","60 plus","ON",1
"161","Liberal Party","Male","Graduated college","30 to 44","ON",1
"162","Conservative Party","Female","Graduated college","60 plus","QC",0
"163","Liberal Party","Female","Graduated college","30 to 44","AB",1
"164","Conservative Party","Female","Didn't graduate high school","30 to 44","SK",0
"165","Conservative Party","Male","Didn't graduate college","45 to 59","AB",0
"166","Conservative Party","Male","Graduated college","60 plus","NS",0
"167","Conservative Party","Male","Didn't graduate college","45 to 59","ON",0
"168","Conservative Party","Male","Graduated high school","60 plus","AB",0
"169","Liberal Party","Male","Graduated college","30 to 44","QC",1
"170","Liberal Party","Male","Graduated college","30 to 44","AB",1
"171","Liberal Party","Male","Graduated college","60 plus","ON",1
"172","Liberal Party","Female","Graduated college","30 to 44","ON",1
"173","Conservative Party","Male","Didn't graduate high school","45 to 59","ON",0
"174","Liberal Party","Female","Didn't graduate college","60 plus","QC",1
"175","Liberal Party","Male","Graduated college","30 to 44","QC",1
"176","Liberal Party","Female","Graduated college","60 plus","QC",1
"177","Liberal Party","Female","Didn't graduate college","60 plus","NS",1
"178","Liberal Party","Female","Graduated college","18 to 29","ON",1
"179","Liberal Party","Female","Graduated college","30 to 44","QC",1
"180","Liberal Party","Male","Graduated college","30 to 44","ON",1
"181","Conservative Party","Female","Graduated college","30 to 44","AB",0
"182","Conservative Party","Female","Didn't graduate college","30 to 44","BC",0
"183","Conservative Party","Female","Graduated high school","60 plus","AB",0
"184","Liberal Party","Male","Graduated college","30 to 44","ON",1
"185","Conservative Party","Female","Graduated college","30 to 44","ON",0
"186","Conservative Party","Female","Graduated college","18 to 29","BC",0
"187","Conservative Party","Female","Graduated college","60 plus","ON",0
"188","Liberal Party","Female","Graduated college","60 plus","ON",1
"189","Liberal Party","Female","Graduated college","45 to 59","AB",1
"190","Conservative Party","Male","Didn't graduate college","45 to 59","ON",0
"191","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"192","Liberal Party","Female","Didn't graduate college","60 plus","NS",1
"193","Liberal Party","Male","Graduated college","30 to 44","QC",1
"194","Conservative Party","Male","Didn't graduate college","60 plus","AB",0
"195","Liberal Party","Female","Graduated college","45 to 59","ON",1
"196","Conservative Party","Male","Didn't graduate high school","18 to 29","ON",0
"197","Liberal Party","Female","Graduated college","45 to 59","ON",1
"198","Liberal Party","Female","Didn't graduate college","45 to 59","NL",1
"199","Conservative Party","Male","Didn't graduate college","18 to 29","NB",0
"200","Conservative Party","Male","Graduated college","45 to 59","QC",0
"201","Liberal Party","Male","Didn't graduate college","30 to 44","QC",1
"202","Conservative Party","Male","Didn't graduate high school","18 to 29","ON",0
"203","Liberal Party","Male","Graduated college","60 plus","PE",1
"204","Liberal Party","Female","Graduated college","60 plus","QC",1
"205","Liberal Party","Male","Graduated college","60 plus","QC",1
"206","Liberal Party","Male","Graduated college","60 plus","NS",1
"207","Liberal Party","Female","Graduated college","60 plus","NB",1
"208","Conservative Party","Male","Graduated high school","45 to 59","ON",0
"209","Liberal Party","Female","Didn't graduate college","30 to 44","AB",1
"210","Liberal Party","Male","Graduated college","60 plus","BC",1
"211","Conservative Party","Male","Didn't graduate college","30 to 44","QC",0
"212","Conservative Party","Female","Graduated college","60 plus","QC",0
"213","Liberal Party","Male","Graduated college","45 to 59","QC",1
"214","Liberal Party","Male","Didn't graduate college","45 to 59","AB",1
"215","Liberal Party","Female","Graduated college","60 plus","ON",1
"216","Conservative Party","Male","Graduated college","60 plus","MB",0
"217","Liberal Party","Male","Didn't graduate college","30 to 44","BC",1
"218","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"219","Conservative Party","Female","Didn't graduate college","60 plus","MB",0
"220","Conservative Party","Male","Didn't graduate high school","60 plus","QC",0
"221","Liberal Party","Female","Didn't graduate college","18 to 29","ON",1
"222","Liberal Party","Male","Graduated college","45 to 59","ON",1
"223","Liberal Party","Male","Graduated college","45 to 59","ON",1
"224","Liberal Party","Male","Graduated college","60 plus","QC",1
"225","Liberal Party","Female","Graduated college","45 to 59","ON",1
"226","Liberal Party","Male","Graduated high school","45 to 59","AB",1
"227","Conservative Party","Female","Graduated high school","60 plus","AB",0
"228","Liberal Party","Male","Didn't graduate college","45 to 59","ON",1
"229","Liberal Party","Female","Graduated college","45 to 59","AB",1
"230","Liberal Party","Female","Didn't graduate college","18 to 29","QC",1
"231","Liberal Party","Male","Graduated college","45 to 59","ON",1
"232","Liberal Party","Female","Graduated college","18 to 29","ON",1
"233","Conservative Party","Male","Didn't graduate high school","60 plus","AB",0
"234","Liberal Party","Female","Didn't graduate college","60 plus","NL",1
"235","Liberal Party","Male","Graduated high school","60 plus","QC",1
"236","Liberal Party","Female","Graduated college","60 plus","QC",1
"237","Conservative Party","Female","Didn't graduate college","60 plus","SK",0
"238","Liberal Party","Male","Didn't graduate college","30 to 44","QC",1
"239","Conservative Party","Female","Didn't graduate college","45 to 59","ON",0
"240","Conservative Party","Male","Didn't graduate high school","18 to 29","NL",0
"241","Conservative Party","Female","Graduated high school","60 plus","AB",0
"242","Liberal Party","Female","Graduated college","45 to 59","AB",1
"243","Liberal Party","Female","Graduated college","45 to 59","ON",1
"244","Liberal Party","Female","Didn't graduate college","30 to 44","QC",1
"245","Conservative Party","Male","Didn't graduate college","60 plus","MB",0
"246","Liberal Party","Female","Graduated college","60 plus","QC",1
"247","Liberal Party","Female","Didn't graduate college","30 to 44","QC",1
"248","Liberal Party","Female","Graduated college","30 to 44","BC",1
"249","Conservative Party","Female","Graduated high school","45 to 59","NU",0
"250","Liberal Party","Female","Graduated high school","18 to 29","SK",1
"251","Conservative Party","Male","Graduated high school","18 to 29","AB",0
"252","Liberal Party","Male","Didn't graduate college","30 to 44","QC",1
"253","Conservative Party","Female","Didn't graduate college","60 plus","SK",0
"254","Conservative Party","Female","Didn't graduate college","60 plus","BC",0
"255","Liberal Party","Male","Graduated college","45 to 59","ON",1
"256","Liberal Party","Male","Graduated college","60 plus","ON",1
"257","Conservative Party","Female","Graduated college","45 to 59","AB",0
"258","Liberal Party","Female","Graduated college","45 to 59","AB",1
"259","Conservative Party","Female","Graduated high school","30 to 44","BC",0
"260","Liberal Party","Male","Graduated college","60 plus","QC",1
"261","Liberal Party","Male","Graduated college","30 to 44","AB",1
"262","Conservative Party","Male","Didn't graduate college","60 plus","QC",0
"263","Liberal Party","Male","Didn't graduate college","60 plus","ON",1
"264","Liberal Party","Female","Didn't graduate college","60 plus","NL",1
"265","Liberal Party","Female","Graduated college","60 plus","ON",1
"266","Liberal Party","Female","Graduated college","30 to 44","ON",1
"267","Liberal Party","Female","Graduated college","30 to 44","QC",1
"268","Conservative Party","Female","Didn't graduate college","45 to 59","ON",0
"269","Conservative Party","Female","Graduated college","30 to 44","MB",0
"270","Liberal Party","Female","Graduated college","30 to 44","QC",1
"271","Conservative Party","Female","Didn't graduate college","60 plus","AB",0
"272","Conservative Party","Male","Graduated high school","45 to 59","ON",0
"273","Conservative Party","Female","Didn't graduate college","60 plus","BC",0
"274","Conservative Party","Male","Didn't graduate college","45 to 59","MB",0
"275","Conservative Party","Male","Didn't graduate college","45 to 59","QC",0
"276","Liberal Party","Male","Graduated college","30 to 44","ON",1
"277","Conservative Party","Male","Graduated college","30 to 44","ON",0
"278","Liberal Party","Female","Didn't graduate college","60 plus","QC",1
"279","Conservative Party","Male","Graduated college","30 to 44","ON",0
"280","Liberal Party","Male","Graduated college","18 to 29","BC",1
"281","Liberal Party","Female","Graduated college","18 to 29","SK",1
"282","Conservative Party","Male","Didn't graduate high school","18 to 29","ON",0
"283","Liberal Party","Male","Graduated high school","45 to 59","ON",1
"284","Conservative Party","Female","Graduated college","30 to 44","ON",0
"285","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"286","Liberal Party","Male","Graduated college","60 plus","MB",1
"287","Liberal Party","Male","Graduated college","18 to 29","ON",1
"288","Liberal Party","Female","Didn't graduate college","18 to 29","AB",1
"289","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"290","Liberal Party","Female","Graduated college","30 to 44","ON",1
"291","Conservative Party","Male","Graduated college","60 plus","QC",0
"292","Liberal Party","Female","Graduated college","45 to 59","ON",1
"293","Conservative Party","Male","Graduated college","30 to 44","BC",0
"294","Liberal Party","Female","Graduated high school","60 plus","ON",1
"295","Conservative Party","Male","Graduated college","45 to 59","AB",0
"296","Liberal Party","Female","Graduated high school","18 to 29","ON",1
"297","Conservative Party","Female","Didn't graduate college","18 to 29","AB",0
"298","Conservative Party","Female","Graduated high school","45 to 59","AB",0
"299","Conservative Party","Male","Didn't graduate high school","45 to 59","BC",0
"300","Liberal Party","Male","Graduated college","18 to 29","ON",1
"301","Conservative Party","Female","Didn't graduate high school","18 to 29","ON",0
"302","Liberal Party","Female","Graduated college","45 to 59","ON",1
"303","Conservative Party","Female","Graduated high school","60 plus","AB",0
"304","Conservative Party","Female","Didn't graduate college","45 to 59","ON",0
"305","Conservative Party","Female","Graduated college","45 to 59","ON",0
"306","Liberal Party","Male","Graduated college","30 to 44","QC",1
"307","Liberal Party","Female","Didn't graduate high school","60 plus","ON",1
"308","Conservative Party","Female","Graduated college","30 to 44","BC",0
"309","Conservative Party","Female","Didn't graduate high school","60 plus","SK",0
"310","Conservative Party","Male","Graduated college","60 plus","ON",0
"311","Liberal Party","Male","Didn't graduate college","30 to 44","QC",1
"312","Liberal Party","Male","Graduated college","60 plus","ON",1
"313","Liberal Party","Female","Graduated college","30 to 44","YT",1
"314","Conservative Party","Male","Didn't graduate college","30 to 44","ON",0
"315","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"316","Liberal Party","Female","Graduated college","30 to 44","ON",1
"317","Conservative Party","Male","Graduated college","45 to 59","BC",0
"318","Conservative Party","Female","Didn't graduate college","18 to 29","MB",0
"319","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"320","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"321","Conservative Party","Male","Graduated high school","45 to 59","BC",0
"322","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"323","Conservative Party","Male","Didn't graduate college","45 to 59","AB",0
"324","Liberal Party","Female","Graduated college","45 to 59","AB",1
"325","Liberal Party","Female","Didn't graduate college","60 plus","QC",1
"326","Conservative Party","Male","Graduated college","45 to 59","SK",0
"327","Liberal Party","Female","Didn't graduate college","30 to 44","NB",1
"328","Liberal Party","Male","Graduated college","60 plus","QC",1
"329","Conservative Party","Female","Graduated college","18 to 29","SK",0
"330","Conservative Party","Male","Didn't graduate college","60 plus","SK",0
"331","Conservative Party","Male","Graduated high school","60 plus","QC",0
"332","Liberal Party","Male","Graduated college","45 to 59","ON",1
"333","Conservative Party","Female","Didn't graduate college","45 to 59","ON",0
"334","Conservative Party","Male","Graduated college","45 to 59","BC",0
"335","Conservative Party","Female","Graduated college","18 to 29","QC",0
"336","Liberal Party","Male","Graduated college","30 to 44","QC",1
"337","Liberal Party","Male","Graduated college","60 plus","ON",1
"338","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"339","Liberal Party","Male","Graduated college","30 to 44","ON",1
"340","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"341","Liberal Party","Male","Graduated college","60 plus","QC",1
"342","Conservative Party","Male","Graduated college","60 plus","ON",0
"343","Liberal Party","Male","Graduated college","30 to 44","ON",1
"344","Liberal Party","Female","Graduated college","45 to 59","ON",1
"345","Conservative Party","Female","Didn't graduate college","45 to 59","AB",0
"346","Conservative Party","Male","Graduated college","30 to 44","AB",0
"347","Conservative Party","Male","Didn't graduate college","60 plus","AB",0
"348","Conservative Party","Male","Didn't graduate college","60 plus","AB",0
"349","Conservative Party","Female","Graduated college","30 to 44","SK",0
"350","Conservative Party","Female","Graduated college","30 to 44","AB",0
"351","Liberal Party","Female","Didn't graduate college","60 plus","NL",1
"352","Liberal Party","Female","Graduated college","60 plus","ON",1
"353","Conservative Party","Female","Graduated college","30 to 44","MB",0
"354","Conservative Party","Female","Graduated college","60 plus","AB",0
"355","Liberal Party","Female","Graduated high school","18 to 29","QC",1
"356","Conservative Party","Male","Graduated college","30 to 44","AB",0
"357","Conservative Party","Male","Graduated college","60 plus","AB",0
"358","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"359","Liberal Party","Male","Didn't graduate college","45 to 59","AB",1
"360","Liberal Party","Female","Didn't graduate college","45 to 59","QC",1
"361","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"362","Liberal Party","Female","Graduated college","45 to 59","ON",1
"363","Liberal Party","Male","Graduated college","60 plus","ON",1
"364","Conservative Party","Female","Graduated high school","60 plus","QC",0
"365","Liberal Party","Female","Graduated college","30 to 44","ON",1
"366","Conservative Party","Male","Graduated college","18 to 29","BC",0
"367","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"368","Liberal Party","Male","Didn't graduate high school","60 plus","ON",1
"369","Conservative Party","Male","Didn't graduate college","45 to 59","BC",0
"370","Liberal Party","Male","Graduated college","60 plus","ON",1
"371","Conservative Party","Female","Didn't graduate college","30 to 44","NB",0
"372","Conservative Party","Male","Didn't graduate college","45 to 59","ON",0
"373","Liberal Party","Male","Didn't graduate college","45 to 59","QC",1
"374","Conservative Party","Female","Didn't graduate college","60 plus","NS",0
"375","Conservative Party","Male","Didn't graduate college","45 to 59","AB",0
"376","Conservative Party","Female","Graduated college","45 to 59","ON",0
"377","Liberal Party","Female","Graduated college","18 to 29","SK",1
"378","Liberal Party","Female","Graduated high school","60 plus","ON",1
"379","Conservative Party","Female","Didn't graduate college","30 to 44","QC",0
"380","Conservative Party","Male","Graduated high school","60 plus","QC",0
"381","Conservative Party","Male","Graduated college","18 to 29","ON",0
"382","Liberal Party","Female","Didn't graduate college","30 to 44","QC",1
"383","Conservative Party","Male","Didn't graduate college","30 to 44","ON",0
"384","Conservative Party","Female","Graduated college","45 to 59","ON",0
"385","Liberal Party","Female","Graduated college","30 to 44","NL",1
"386","Conservative Party","Male","Graduated high school","60 plus","AB",0
"387","Conservative Party","Female","Didn't graduate college","18 to 29","AB",0
"388","Conservative Party","Male","Didn't graduate college","45 to 59","ON",0
"389","Conservative Party","Male","Graduated college","45 to 59","BC",0
"390","Liberal Party","Male","Graduated high school","18 to 29","BC",1
"391","Liberal Party","Male","Graduated college","30 to 44","ON",1
"392","Liberal Party","Female","Graduated college","18 to 29","ON",1
"393","Liberal Party","Female","Graduated college","30 to 44","ON",1
"394","Liberal Party","Female","Graduated college","60 plus","ON",1
"395","Conservative Party","Male","Graduated college","60 plus","ON",0
"396","Conservative Party","Male","Graduated high school","60 plus","SK",0
"397","Liberal Party","Female","Graduated college","60 plus","AB",1
"398","Conservative Party","Female","Didn't graduate college","45 to 59","ON",0
"399","Conservative Party","Male","Graduated high school","45 to 59","AB",0
"400","Liberal Party","Male","Graduated college","60 plus","ON",1
"401","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"402","Conservative Party","Male","Graduated college","45 to 59","NS",0
"403","Conservative Party","Male","Didn't graduate college","45 to 59","AB",0
"404","Conservative Party","Female","Didn't graduate college","30 to 44","AB",0
"405","Liberal Party","Male","Graduated college","60 plus","NB",1
"406","Liberal Party","Male","Graduated college","30 to 44","NL",1
"407","Conservative Party","Male","Didn't graduate college","30 to 44","QC",0
"408","Conservative Party","Female","Didn't graduate college","60 plus","MB",0
"409","Conservative Party","Male","Graduated college","45 to 59","ON",0
"410","Conservative Party","Female","Didn't graduate high school","30 to 44","ON",0
"411","Conservative Party","Female","Didn't graduate college","45 to 59","SK",0
"412","Conservative Party","Female","Graduated college","60 plus","ON",0
"413","Conservative Party","Male","Didn't graduate college","45 to 59","ON",0
"414","Liberal Party","Female","Graduated college","60 plus","ON",1
"415","Liberal Party","Male","Graduated college","18 to 29","ON",1
"416","Conservative Party","Female","Graduated college","45 to 59","BC",0
"417","Conservative Party","Female","Graduated high school","18 to 29","SK",0
"418","Liberal Party","Female","Didn't graduate college","45 to 59","BC",1
"419","Conservative Party","Female","Didn't graduate college","45 to 59","NB",0
"420","Conservative Party","Male","Graduated college","60 plus","ON",0
"421","Conservative Party","Female","Graduated college","45 to 59","MB",0
"422","Liberal Party","Male","Graduated college","30 to 44","QC",1
"423","Conservative Party","Male","Didn't graduate college","30 to 44","NL",0
"424","Liberal Party","Female","Didn't graduate college","30 to 44","NB",1
"425","Conservative Party","Male","Didn't graduate college","60 plus","AB",0
"426","Conservative Party","Male","Didn't graduate college","30 to 44","AB",0
"427","Conservative Party","Male","Graduated college","60 plus","ON",0
"428","Liberal Party","Male","Graduated college","18 to 29","QC",1
"429","Liberal Party","Female","Graduated college","60 plus","ON",1
"430","Liberal Party","Male","Graduated college","60 plus","AB",1
"431","Liberal Party","Female","Graduated college","30 to 44","ON",1
"432","Liberal Party","Male","Graduated college","60 plus","NL",1
"433","Liberal Party","Female","Graduated college","30 to 44","ON",1
"434","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"435","Liberal Party","Female","Graduated college","30 to 44","ON",1
"436","Conservative Party","Female","Graduated college","45 to 59","PE",0
"437","Liberal Party","Female","Graduated college","45 to 59","ON",1
"438","Conservative Party","Male","Didn't graduate college","60 plus","AB",0
"439","Conservative Party","Female","Graduated high school","45 to 59","AB",0
"440","Conservative Party","Female","Didn't graduate college","45 to 59","BC",0
"441","Conservative Party","Female","Graduated high school","45 to 59","MB",0
"442","Conservative Party","Female","Graduated college","30 to 44","ON",0
"443","Liberal Party","Female","Didn't graduate college","60 plus","AB",1
"444","Liberal Party","Female","Graduated college","18 to 29","ON",1
"445","Conservative Party","Female","Graduated high school","60 plus","MB",0
"446","Conservative Party","Female","Graduated college","60 plus","ON",0
"447","Liberal Party","Male","Didn't graduate college","45 to 59","QC",1
"448","Conservative Party","Female","Didn't graduate college","60 plus","AB",0
"449","Liberal Party","Female","Graduated college","30 to 44","ON",1
"450","Liberal Party","Male","Graduated college","30 to 44","QC",1
"451","Conservative Party","Male","Graduated high school","30 to 44","PE",0
