"","vote_2019","gender","edu","age","province","dummy_vote"
"86","Conservative Party","Female","Didn't graduate college","30 to 44","SK",0
"87","Liberal Party","Female","Graduated college","30 to 44","ON",1
"88","Liberal Party","Female","Graduated high school","45 to 59","BC",1
"89","Conservative Party","Female","Graduated college","30 to 44","ON",0
"90","Liberal Party","Female","Didn't graduate college","45 to 59","MB",1
"91","Liberal Party","Female","Graduated high school","60 plus","ON",1
"92","Conservative Party","Male","Didn't graduate college","45 to 59","QC",0
"93","Liberal Party","Female","Graduated college","18 to 29","AB",1
"94","Liberal Party","Female","Graduated college","45 to 59","NS",1
"95","Conservative Party","Male","Graduated college","45 to 59","QC",0
"96","Conservative Party","Female","Didn't graduate college","60 plus","BC",0
"97","Conservative Party","Male","Graduated college","60 plus","MB",0
"98","Liberal Party","Female","Didn't graduate high school","45 to 59","QC",1
"99","Conservative Party","Male","Didn't graduate college","30 to 44","BC",0
"100","Conservative Party","Female","Didn't graduate college","45 to 59","ON",0
"101","Conservative Party","Male","Didn't graduate college","60 plus","QC",0
"102","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"103","Conservative Party","Female","Graduated college","30 to 44","BC",0
"104","Conservative Party","Female","Didn't graduate college","18 to 29","AB",0
"105","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"106","Liberal Party","Male","Graduated college","45 to 59","ON",1
"107","Liberal Party","Female","Graduated high school","45 to 59","QC",1
"108","Conservative Party","Female","Didn't graduate college","60 plus","ON",0
"109","Conservative Party","Female","Didn't graduate college","30 to 44","AB",0
"110","Liberal Party","Female","Didn't graduate high school","60 plus","QC",1
"111","Liberal Party","Male","Graduated college","30 to 44","QC",1
"112","Liberal Party","Male","Graduated college","60 plus","NB",1
"113","Liberal Party","Female","Graduated college","60 plus","ON",1
"114","Conservative Party","Female","Graduated high school","60 plus","ON",0
"115","Conservative Party","Female","Graduated college","30 to 44","QC",0
"116","Conservative Party","Male","Graduated college","45 to 59","AB",0
"117","Conservative Party","Male","Graduated college","45 to 59","ON",0
"118","Conservative Party","Female","Didn't graduate college","60 plus","AB",0
"119","Conservative Party","Male","Graduated high school","60 plus","NB",0
"120","Liberal Party","Male","Didn't graduate college","60 plus","QC",1
"121","Conservative Party","Female","Graduated college","18 to 29","SK",0
"122","Liberal Party","Male","Didn't graduate college","30 to 44","ON",1
"123","Liberal Party","Male","Graduated college","60 plus","AB",1
"124","Conservative Party","Female","Didn't graduate college","30 to 44","AB",0
"125","Conservative Party","Female","Didn't graduate college","45 to 59","ON",0
"126","Conservative Party","Male","Didn't graduate college","60 plus","QC",0
"127","Conservative Party","Male","Graduated college","60 plus","ON",0
"128","Liberal Party","Female","Graduated high school","30 to 44","ON",1
"129","Conservative Party","Male","Didn't graduate college","45 to 59","QC",0
"130","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"131","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"132","Conservative Party","Male","Didn't graduate high school","60 plus","ON",0
"133","Conservative Party","Male","Graduated college","45 to 59","ON",0
"134","Conservative Party","Female","Graduated college","30 to 44","ON",0
"135","Liberal Party","Female","Graduated college","18 to 29","ON",1
"136","Liberal Party","Female","Graduated college","45 to 59","MB",1
"137","Conservative Party","Male","Graduated high school","60 plus","QC",0
"138","Conservative Party","Male","Graduated high school","60 plus","QC",0
"139","Conservative Party","Female","Didn't graduate college","30 to 44","NL",0
"140","Liberal Party","Male","Graduated college","45 to 59","ON",1
"141","Conservative Party","Male","Didn't graduate college","60 plus","BC",0
"142","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"143","Liberal Party","Male","Didn't graduate college","60 plus","ON",1
"144","Conservative Party","Male","Graduated high school","60 plus","AB",0
"145","Liberal Party","Female","Graduated college","18 to 29","ON",1
"146","Conservative Party","Male","Didn't graduate high school","45 to 59","ON",0
"147","Conservative Party","Male","Graduated college","60 plus","QC",0
"148","Conservative Party","Female","Graduated high school","30 to 44","SK",0
"149","Liberal Party","Female","Didn't graduate high school","60 plus","QC",1
"150","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"151","Conservative Party","Female","Didn't graduate college","60 plus","BC",0
"152","Conservative Party","Male","Graduated college","60 plus","ON",0
"153","Liberal Party","Male","Graduated college","60 plus","QC",1
"154","Conservative Party","Male","Graduated college","18 to 29","ON",0
"155","Conservative Party","Female","Didn't graduate college","30 to 44","AB",0
"156","Liberal Party","Male","Graduated college","60 plus","BC",1
"157","Liberal Party","Female","Graduated college","30 to 44","ON",1
"158","Conservative Party","Female","Didn't graduate college","60 plus","AB",0
"159","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"160","Conservative Party","Female","Graduated college","30 to 44","AB",0
"161","Liberal Party","Female","Graduated high school","60 plus","ON",1
"162","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"163","Conservative Party","Male","Didn't graduate college","60 plus","SK",0
"164","Liberal Party","Male","Graduated college","60 plus","QC",1
"165","Conservative Party","Female","Didn't graduate college","30 to 44","NB",0
"166","Liberal Party","Male","Didn't graduate college","18 to 29","ON",1
"167","Liberal Party","Male","Graduated high school","45 to 59","ON",1
"168","Liberal Party","Male","Graduated college","45 to 59","ON",1
"169","Liberal Party","Male","Graduated high school","18 to 29","ON",1
"170","Liberal Party","Male","Graduated college","45 to 59","ON",1
"171","Liberal Party","Male","Graduated college","60 plus","QC",1
"172","Liberal Party","Female","Graduated college","60 plus","QC",1
"173","Liberal Party","Female","Graduated college","60 plus","ON",1
"174","Liberal Party","Male","Graduated high school","18 to 29","ON",1
"175","Conservative Party","Male","Graduated college","45 to 59","BC",0
"176","Conservative Party","Female","Graduated college","60 plus","MB",0
"177","Liberal Party","Female","Graduated college","60 plus","ON",1
"178","Conservative Party","Male","Graduated college","45 to 59","ON",0
"179","Liberal Party","Male","Didn't graduate college","60 plus","MB",1
"180","Conservative Party","Female","Graduated college","45 to 59","MB",0
"181","Conservative Party","Male","Graduated college","60 plus","AB",0
"182","Liberal Party","Female","Graduated high school","60 plus","ON",1
"183","Liberal Party","Female","Graduated college","45 to 59","ON",1
"184","Liberal Party","Female","Didn't graduate college","45 to 59","QC",1
"185","Conservative Party","Female","Didn't graduate college","60 plus","NL",0
"186","Liberal Party","Female","Didn't graduate college","30 to 44","NB",1
"187","Conservative Party","Male","Didn't graduate college","60 plus","BC",0
"188","Liberal Party","Male","Didn't graduate high school","18 to 29","ON",1
"189","Liberal Party","Female","Graduated high school","45 to 59","BC",1
"190","Liberal Party","Female","Graduated college","18 to 29","ON",1
"191","Liberal Party","Male","Graduated college","60 plus","ON",1
"192","Liberal Party","Female","Graduated college","45 to 59","QC",1
"193","Conservative Party","Female","Graduated college","18 to 29","ON",0
"194","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"195","Liberal Party","Female","Graduated college","45 to 59","ON",1
"196","Conservative Party","Male","Graduated college","60 plus","ON",0
"197","Liberal Party","Female","Graduated college","18 to 29","ON",1
"198","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"199","Conservative Party","Male","Graduated college","30 to 44","MB",0
"200","Conservative Party","Male","Didn't graduate college","60 plus","AB",0
"201","Conservative Party","Female","Graduated college","60 plus","NL",0
"202","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"203","Liberal Party","Female","Didn't graduate college","60 plus","AB",1
"204","Conservative Party","Male","Didn't graduate college","45 to 59","ON",0
"205","Conservative Party","Female","Graduated college","30 to 44","ON",0
"206","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"207","Conservative Party","Female","Didn't graduate college","30 to 44","AB",0
"208","Conservative Party","Male","Didn't graduate college","30 to 44","ON",0
"209","Liberal Party","Female","Didn't graduate college","60 plus","QC",1
"210","Conservative Party","Female","Didn't graduate college","60 plus","BC",0
"211","Liberal Party","Male","Graduated college","30 to 44","BC",1
"212","Conservative Party","Male","Graduated college","60 plus","ON",0
"213","Conservative Party","Female","Graduated college","30 to 44","ON",0
"214","Conservative Party","Female","Graduated college","30 to 44","ON",0
"215","Liberal Party","Male","Graduated college","30 to 44","QC",1
"216","Liberal Party","Female","Graduated college","30 to 44","ON",1
"217","Liberal Party","Male","Graduated college","45 to 59","QC",1
"218","Conservative Party","Male","Didn't graduate college","18 to 29","AB",0
"219","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"220","Conservative Party","Female","Graduated college","18 to 29","BC",0
"221","Conservative Party","Male","Graduated college","30 to 44","ON",0
"222","Conservative Party","Male","Graduated college","60 plus","ON",0
"223","Liberal Party","Female","Graduated college","60 plus","NS",1
"224","Conservative Party","Female","Didn't graduate college","45 to 59","NB",0
"225","Conservative Party","Male","Graduated college","18 to 29","ON",0
"226","Conservative Party","Male","Didn't graduate college","30 to 44","ON",0
"227","Liberal Party","Female","Graduated college","45 to 59","ON",1
"228","Liberal Party","Female","Graduated college","18 to 29","ON",1
"229","Conservative Party","Female","Didn't graduate college","45 to 59","AB",0
"230","Liberal Party","Female","Graduated college","60 plus","ON",1
"231","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"232","Liberal Party","Female","Graduated college","30 to 44","BC",1
"233","Conservative Party","Female","Graduated college","30 to 44","ON",0
"234","Liberal Party","Female","Graduated college","45 to 59","BC",1
"235","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"236","Liberal Party","Female","Graduated college","30 to 44","BC",1
"237","Conservative Party","Male","Graduated college","60 plus","AB",0
"238","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"239","Liberal Party","Female","Didn't graduate college","18 to 29","ON",1
"240","Liberal Party","Male","Graduated college","60 plus","ON",1
"241","Conservative Party","Female","Didn't graduate college","45 to 59","SK",0
"242","Liberal Party","Male","Graduated high school","18 to 29","ON",1
"243","Conservative Party","Female","Graduated college","30 to 44","ON",0
"244","Liberal Party","Male","Graduated college","18 to 29","ON",1
"245","Conservative Party","Male","Graduated high school","18 to 29","SK",0
"246","Conservative Party","Male","Graduated high school","60 plus","ON",0
"247","Liberal Party","Male","Graduated college","60 plus","QC",1
"248","Liberal Party","Male","Graduated college","45 to 59","QC",1
"249","Liberal Party","Male","Graduated college","30 to 44","QC",1
"250","Liberal Party","Female","Graduated college","45 to 59","ON",1
"251","Liberal Party","Female","Didn't graduate college","60 plus","BC",1
"252","Liberal Party","Male","Graduated college","60 plus","ON",1
"253","Conservative Party","Male","Graduated college","60 plus","ON",0
"254","Liberal Party","Female","Graduated high school","18 to 29","ON",1
"255","Conservative Party","Female","Graduated college","30 to 44","AB",0
"256","Liberal Party","Female","Graduated college","60 plus","BC",1
"257","Liberal Party","Male","Didn't graduate college","45 to 59","ON",1
"258","Conservative Party","Male","Didn't graduate college","45 to 59","AB",0
"259","Conservative Party","Female","Didn't graduate college","60 plus","MB",0
"260","Liberal Party","Female","Graduated college","45 to 59","NB",1
"261","Conservative Party","Male","Graduated high school","45 to 59","ON",0
"262","Conservative Party","Female","Graduated high school","45 to 59","AB",0
"263","Liberal Party","Female","Graduated college","30 to 44","QC",1
"264","Liberal Party","Female","Graduated college","45 to 59","ON",1
"265","Liberal Party","Male","Graduated college","30 to 44","ON",1
"266","Conservative Party","Male","Graduated college","60 plus","BC",0
"267","Liberal Party","Female","Graduated high school","45 to 59","BC",1
"268","Liberal Party","Male","Graduated college","60 plus","ON",1
"269","Liberal Party","Male","Graduated college","30 to 44","QC",1
"270","Liberal Party","Male","Graduated college","45 to 59","NL",1
"271","Conservative Party","Female","Didn't graduate high school","60 plus","AB",0
"272","Conservative Party","Male","Graduated college","60 plus","SK",0
"273","Conservative Party","Female","Didn't graduate college","30 to 44","AB",0
"274","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"275","Conservative Party","Male","Didn't graduate college","60 plus","NS",0
"276","Conservative Party","Female","Didn't graduate college","45 to 59","NS",0
"277","Liberal Party","Male","Graduated high school","30 to 44","ON",1
"278","Liberal Party","Female","Graduated college","45 to 59","ON",1
"279","Conservative Party","Male","Graduated college","30 to 44","ON",0
"280","Liberal Party","Male","Didn't graduate college","60 plus","ON",1
"281","Liberal Party","Male","Didn't graduate college","45 to 59","QC",1
"282","Conservative Party","Male","Graduated college","45 to 59","QC",0
"283","Conservative Party","Male","Didn't graduate college","45 to 59","QC",0
"284","Conservative Party","Female","Didn't graduate college","60 plus","MB",0
"285","Liberal Party","Female","Graduated college","60 plus","ON",1
"286","Liberal Party","Male","Graduated high school","60 plus","QC",1
"287","Liberal Party","Female","Graduated college","18 to 29","ON",1
"288","Conservative Party","Female","Didn't graduate college","60 plus","SK",0
"289","Conservative Party","Female","Graduated high school","45 to 59","QC",0
"290","Liberal Party","Male","Graduated college","45 to 59","ON",1
"291","Conservative Party","Male","Graduated college","60 plus","AB",0
"292","Liberal Party","Female","Graduated high school","30 to 44","ON",1
"293","Conservative Party","Female","Graduated college","60 plus","AB",0
"294","Conservative Party","Female","Didn't graduate high school","60 plus","AB",0
"295","Liberal Party","Male","Graduated college","45 to 59","BC",1
"296","Conservative Party","Female","Didn't graduate college","45 to 59","AB",0
"297","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"298","Liberal Party","Female","Graduated high school","18 to 29","ON",1
"299","Liberal Party","Female","Graduated high school","18 to 29","BC",1
"300","Liberal Party","Female","Graduated college","30 to 44","ON",1
"301","Liberal Party","Female","Graduated college","30 to 44","AB",1
"302","Conservative Party","Male","Graduated high school","60 plus","ON",0
"303","Liberal Party","Female","Didn't graduate college","30 to 44","AB",1
"304","Conservative Party","Male","Didn't graduate college","60 plus","QC",0
"305","Liberal Party","Male","Graduated college","60 plus","QC",1
"306","Conservative Party","Female","Graduated college","60 plus","ON",0
"307","Conservative Party","Male","Graduated college","60 plus","ON",0
"308","Conservative Party","Male","Graduated college","60 plus","QC",0
"309","Liberal Party","Female","Graduated college","30 to 44","QC",1
"310","Liberal Party","Male","Didn't graduate high school","60 plus","PE",1
"311","Conservative Party","Male","Graduated college","45 to 59","ON",0
"312","Liberal Party","Male","Graduated college","60 plus","ON",1
"313","Liberal Party","Female","Graduated high school","45 to 59","ON",1
"314","Liberal Party","Male","Graduated college","60 plus","BC",1
"315","Conservative Party","Male","Graduated high school","45 to 59","ON",0
"316","Liberal Party","Female","Graduated college","18 to 29","ON",1
"317","Liberal Party","Female","Didn't graduate college","18 to 29","ON",1
"318","Liberal Party","Male","Didn't graduate college","60 plus","ON",1
"319","Conservative Party","Female","Graduated college","30 to 44","MB",0
"320","Conservative Party","Female","Didn't graduate college","45 to 59","SK",0
"321","Liberal Party","Female","Graduated college","45 to 59","QC",1
"322","Conservative Party","Male","Didn't graduate high school","18 to 29","BC",0
"323","Liberal Party","Female","Didn't graduate college","60 plus","NS",1
"324","Liberal Party","Female","Graduated college","60 plus","ON",1
"325","Conservative Party","Male","Graduated college","60 plus","QC",0
"326","Conservative Party","Male","Didn't graduate college","60 plus","AB",0
"327","Conservative Party","Female","Didn't graduate college","45 to 59","SK",0
"328","Conservative Party","Female","Didn't graduate college","18 to 29","ON",0
"329","Liberal Party","Female","Graduated college","18 to 29","QC",1
"330","Conservative Party","Female","Didn't graduate high school","60 plus","ON",0
"331","Conservative Party","Male","Graduated high school","45 to 59","AB",0
"332","Conservative Party","Male","Graduated high school","30 to 44","QC",0
"333","Liberal Party","Female","Graduated high school","60 plus","NS",1
"334","Liberal Party","Male","Graduated college","60 plus","ON",1
"335","Conservative Party","Male","Graduated high school","60 plus","ON",0
"336","Liberal Party","Male","Graduated college","45 to 59","ON",1
"337","Conservative Party","Male","Graduated college","30 to 44","QC",0
"338","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"339","Conservative Party","Female","Graduated high school","60 plus","ON",0
"340","Liberal Party","Male","Graduated college","45 to 59","NS",1
"341","Liberal Party","Male","Didn't graduate college","60 plus","ON",1
"342","Liberal Party","Female","Graduated college","18 to 29","ON",1
"343","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"344","Liberal Party","Male","Graduated college","18 to 29","ON",1
"345","Liberal Party","Female","Graduated college","45 to 59","QC",1
"346","Conservative Party","Female","Didn't graduate college","45 to 59","AB",0
"347","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"348","Conservative Party","Male","Graduated high school","18 to 29","ON",0
"349","Liberal Party","Female","Graduated college","30 to 44","NB",1
"350","Conservative Party","Female","Graduated college","30 to 44","ON",0
"351","Conservative Party","Male","Graduated college","30 to 44","ON",0
"352","Liberal Party","Male","Graduated college","60 plus","ON",1
"353","Conservative Party","Male","Graduated college","60 plus","ON",0
"354","Liberal Party","Female","Graduated college","30 to 44","ON",1
"355","Conservative Party","Male","Graduated high school","60 plus","MB",0
"356","Liberal Party","Male","Graduated college","60 plus","MB",1
"357","Conservative Party","Female","Graduated college","45 to 59","ON",0
"358","Conservative Party","Male","Graduated college","60 plus","ON",0
"359","Liberal Party","Female","Graduated college","45 to 59","ON",1
"360","Conservative Party","Male","Didn't graduate high school","18 to 29","QC",0
"361","Conservative Party","Male","Didn't graduate college","45 to 59","ON",0
"362","Liberal Party","Male","Graduated college","30 to 44","ON",1
"363","Liberal Party","Male","Graduated college","30 to 44","ON",1
"364","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"365","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"366","Liberal Party","Male","Graduated high school","45 to 59","NL",1
"367","Conservative Party","Male","Didn't graduate high school","18 to 29","MB",0
"368","Conservative Party","Female","Graduated college","18 to 29","SK",0
"369","Conservative Party","Male","Graduated college","45 to 59","ON",0
"370","Conservative Party","Female","Graduated college","45 to 59","AB",0
"371","Liberal Party","Male","Graduated high school","45 to 59","AB",1
"372","Liberal Party","Female","Graduated college","45 to 59","BC",1
"373","Conservative Party","Female","Graduated college","45 to 59","ON",0
"374","Liberal Party","Female","Didn't graduate college","60 plus","NL",1
"375","Conservative Party","Male","Graduated high school","45 to 59","MB",0
"376","Conservative Party","Female","Graduated college","30 to 44","AB",0
"377","Liberal Party","Female","Graduated college","60 plus","ON",1
"378","Conservative Party","Female","Didn't graduate high school","30 to 44","AB",0
"379","Conservative Party","Female","Graduated college","45 to 59","ON",0
"380","Liberal Party","Male","Graduated college","30 to 44","QC",1
"381","Liberal Party","Female","Graduated college","45 to 59","NS",1
"382","Liberal Party","Female","Graduated college","45 to 59","ON",1
"383","Liberal Party","Male","Didn't graduate college","30 to 44","ON",1
"384","Conservative Party","Male","Graduated college","30 to 44","QC",0
"385","Liberal Party","Female","Graduated high school","45 to 59","ON",1
"386","Conservative Party","Male","Graduated college","30 to 44","AB",0
"387","Conservative Party","Male","Graduated college","18 to 29","AB",0
"388","Conservative Party","Male","Graduated college","60 plus","QC",0
"389","Conservative Party","Female","Didn't graduate college","60 plus","ON",0
"390","Conservative Party","Female","Didn't graduate college","60 plus","BC",0
"391","Conservative Party","Female","Didn't graduate high school","45 to 59","ON",0
"392","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"393","Conservative Party","Female","Graduated college","60 plus","QC",0
"394","Liberal Party","Female","Graduated college","45 to 59","QC",1
"395","Liberal Party","Female","Didn't graduate college","45 to 59","BC",1
"396","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"397","Conservative Party","Male","Didn't graduate college","60 plus","BC",0
"398","Conservative Party","Male","Didn't graduate college","45 to 59","QC",0
"399","Liberal Party","Female","Didn't graduate college","18 to 29","QC",1
"400","Conservative Party","Female","Graduated college","30 to 44","AB",0
"401","Conservative Party","Female","Graduated college","45 to 59","MB",0
"402","Liberal Party","Male","Graduated college","60 plus","BC",1
"403","Liberal Party","Female","Graduated college","45 to 59","QC",1
"404","Conservative Party","Male","Graduated college","30 to 44","ON",0
"405","Conservative Party","Male","Didn't graduate college","45 to 59","AB",0
"406","Liberal Party","Male","Didn't graduate college","45 to 59","ON",1
"407","Conservative Party","Male","Graduated college","18 to 29","ON",0
"408","Conservative Party","Female","Didn't graduate college","60 plus","BC",0
"409","Conservative Party","Female","Graduated college","30 to 44","NB",0
"410","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"411","Conservative Party","Female","Graduated college","30 to 44","AB",0
"412","Conservative Party","Female","Didn't graduate college","45 to 59","ON",0
"413","Liberal Party","Female","Graduated college","30 to 44","ON",1
"414","Conservative Party","Male","Didn't graduate college","45 to 59","AB",0
"415","Conservative Party","Male","Graduated college","60 plus","ON",0
"416","Liberal Party","Female","Graduated college","60 plus","QC",1
"417","Liberal Party","Female","Graduated high school","18 to 29","ON",1
"418","Liberal Party","Female","Graduated college","30 to 44","ON",1
"419","Liberal Party","Female","Didn't graduate high school","30 to 44","ON",1
"420","Liberal Party","Female","Graduated college","18 to 29","ON",1
"421","Conservative Party","Female","Didn't graduate college","60 plus","ON",0
"422","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"423","Liberal Party","Female","Graduated high school","60 plus","QC",1
"424","Liberal Party","Female","Graduated college","60 plus","ON",1
"425","Conservative Party","Male","Graduated high school","60 plus","ON",0
"426","Conservative Party","Female","Graduated college","60 plus","ON",0
"427","Conservative Party","Male","Didn't graduate college","45 to 59","SK",0
"428","Conservative Party","Male","Graduated high school","60 plus","NS",0
"429","Liberal Party","Male","Graduated college","60 plus","QC",1
"430","Conservative Party","Male","Didn't graduate high school","60 plus","QC",0
"431","Conservative Party","Male","Didn't graduate college","30 to 44","ON",0
"432","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"433","Conservative Party","Male","Graduated college","60 plus","BC",0
"434","Liberal Party","Male","Didn't graduate college","45 to 59","AB",1
"435","Liberal Party","Female","Graduated college","30 to 44","ON",1
"436","Liberal Party","Female","Graduated high school","60 plus","QC",1
"437","Conservative Party","Male","Graduated high school","30 to 44","ON",0
"438","Liberal Party","Male","Didn't graduate high school","30 to 44","BC",1
"439","Conservative Party","Male","Didn't graduate college","30 to 44","ON",0
"440","Conservative Party","Female","Graduated high school","18 to 29","ON",0
"441","Conservative Party","Male","Graduated college","60 plus","ON",0
"442","Conservative Party","Male","Graduated college","18 to 29","ON",0
"443","Liberal Party","Male","Didn't graduate college","30 to 44","NL",1
"444","Conservative Party","Female","Graduated college","30 to 44","SK",0
"445","Conservative Party","Male","Graduated high school","60 plus","ON",0
"446","Conservative Party","Female","Graduated high school","60 plus","AB",0
"447","Liberal Party","Female","Didn't graduate college","45 to 59","NS",1
"448","Conservative Party","Female","Didn't graduate college","18 to 29","ON",0
"449","Liberal Party","Male","Graduated college","18 to 29","BC",1
"450","Liberal Party","Male","Graduated college","18 to 29","ON",1
